ID,Name,Description
S10_850,the oar,
S10_851,the paddle,
S10_852,to row,
S10_860,the rudder,
S10_870,the mast,
S10_880,the sail,
S10_890,the anchor,
S10_910,the port,
S11_110,to have,
S11_120,to own,
S11_130,to take,
S11_140,to grasp,
S11_150,to hold,
S11_160,to get,
S11_170,to keep,
S11_180,the thing,
S11_210,to give,
S11_220,to give back,
S11_240,to preserve,
S11_250,to rescue,
S11_270,to destroy,
S11_280,to injure,
S11_310,to look for,
S11_320,to find,
S11_330,to lose,
S11_340,to let go,
S11_430,the money,
S11_440,the coin,
S11_510,rich,
S11_520,poor,
S11_530,the beggar,
S11_540,stingy,
S11_610,to lend,
S11_620,to borrow,
S11_630,to owe,
S11_640,the debt,
S11_650,to pay,
S11_660,the bill,
S11_690,the tax,
S11_770,to hire,
S11_780,the wages,
S11_790,to earn,
S11_810,to buy,
S11_820,to sell,
S11_830,to trade or barter,
S11_840,the merchant,
S11_850,the market,
S11_860,the shop/store,
S11_870,the price,
S11_880,expensive,
S11_890,cheap,
S11_910,to share,
S11_920,to weigh,
S12_110,the place,
S12_120,to put,
S12_130,to sit,
S12_140,to lie down,
S12_150,to stand,
S12_160,to remain,
S12_170,the remains,
S12_210,to gather,
S12_212,to pick up,
S12_213,to pile up,
S12_220,to join,
S12_230,to separate,
S12_232,to divide,
S12_240,to open,
S12_250,to shut,
S12_260,to cover,
S12_270,to hide,
S12_310,high,
S12_320,low,
S12_330,the top,
S12_340,the bottom,
S12_350,the end(1),
S12_352,pointed,
S12_353,the edge,
S12_360,the side,
S12_370,the middle,
S12_410,right(1),
S12_420,left,
S12_430,near,
S12_440,far,
S12_450,the east,
S12_460,the west,
S12_470,the north,
S12_480,the south,
S12_530,to grow,
S12_540,to measure,
S12_541,the fathom,
S12_550,big,
S12_560,small,
S12_570,long,
S12_580,tall,
S12_590,short,
S12_610,wide,
S12_620,narrow,
S12_630,thick,
S12_650,thin,
S12_670,deep,
S12_680,shallow,
S12_710,flat,
S12_730,straight,
S12_740,crooked,
S12_750,the hook,
S12_760,the corner,
S12_770,the cross,
S12_780,the square,
S12_810,round,
S12_820,the circle,
S12_830,the ball,
S12_840,the line,
S12_850,the hole,
S12_920,similar,
S12_930,to change,
S13_100,ten,
S13_101,eleven,
S13_102,twelve,
S13_103,fifteen,
S13_104,twenty,
S13_105,a hundred,
S13_106,a thousand,
S13_107,to count,
S13_140,all,
S13_150,many,
S13_160,more,
S13_170,few,
S13_180,enough,
S13_181,some,
S13_190,the crowd,
S13_210,full,
S13_220,empty,
S13_230,the part,
S13_240,the half,
S13_330,only,
S13_340,first,
S13_350,last,
S13_360,second,
S13_370,the pair,
S13_380,twice/two times,
S13_420,third,
S13_440,three times,
S14_110,the time,
S14_120,the age,
S14_130,new,
S14_140,young,
S14_150,old,
S14_160,early,
S14_170,late,
S14_180,now,
S14_190,immediately,
S14_210,fast,
S14_220,slow,
S14_230,to hurry,
S14_240,to be late,
S14_250,to begin,
S14_252,to last,
S14_260,the end(2),
S14_270,to finish,
S14_280,to cease,
S14_290,ready,
S14_310,always,
S14_320,often,
S14_330,sometimes,
S14_331,soon,
S14_332,for a long time,
S14_340,never,
S14_350,again,
S14_410,the day(1),
S14_420,the night,
S14_430,the dawn,
S14_440,the morning,
S14_450,the midday,
S14_451,the afternoon,
S14_460,the evening,
S14_470,today,
S14_480,tomorrow,
S14_481,the day after tomorrow,
S14_490,yesterday,
S14_491,the day before yesterday,
S14_510,the hour,
S14_530,the clock,
S14_610,the week,
S14_620,Sunday,
S14_630,Monday,
S14_640,Tuesday,
S14_650,Wednesday,
S14_660,Thursday,
S14_670,Friday,
S14_680,Saturday,
S14_710,the month,
S14_730,the year,
S14_740,the winter,
S14_750,the spring(2),
S14_760,the summer,
S14_770,the autumn/fall,
S14_780,the season,
S15_210,to smell(1),
S15_212,to sniff,
